2026-09-01T06:37:54-05:00	5434	66795	523	200
2026-09-01T06:38:01-05:00	7303	67398	786	200
2026-09-01T06:38:10-05:00	8950	68214	1046	200
2026-09-01T06:38:14-05:00	3850	69294	357	200
2026-09-01T06:38:24-05:00	82848	88169	3908	200
2026-09-01T06:38:26-05:00	11756	70080	1154	200
2026-09-01T06:38:32-05:00	5691	71262	604	200
2026-09-01T06:38:32-05:00	5880	2364	603	200
2026-09-01T06:38:55-05:00	23575	96878	1	200
2026-09-01T06:39:16-05:00	44372	72153	935	200
2026-09-01T06:39:31-05:00	58396	61656	236	200
2026-09-01T06:39:37-05:00	5804	67247	268	200
2026-09-01T06:39:42-05:00	4807	68776	457	200
2026-09-01T06:39:44-05:00	2039	69251	118	200
2026-09-01T06:39:47-05:00	2822	69843	237	200
2026-09-01T06:39:50-05:00	2495	70117	188	200
2026-09-01T06:39:53-05:00	2680	70415	203	200
2026-09-01T06:39:55-05:00	2044	70837	170	200
2026-09-01T06:39:56-05:00	60503	19375	2115	200
2026-09-01T06:40:00-05:00	5363	71025	188	200
2026-09-01T06:40:03-05:00	2314	71476	179	200
2026-09-01T06:40:11-05:00	8620	71681	857	200
2026-09-01T06:40:22-05:00	11007	76904	953	200
2026-09-01T06:40:26-05:00	3277	81068	168	200
2026-09-01T06:40:28-05:00	32004	24469	2063	200
2026-09-01T06:40:35-05:00	9573	83495	725	200
2026-09-01T06:40:42-05:00	6471	86188	511	200
2026-09-01T06:40:50-05:00	17778	29998	1327	200
2026-09-01T06:40:50-05:00	194	199	6	200
2026-09-01T06:40:51-05:00	192	226	6	200
2026-09-01T06:40:53-05:00	2335	31355	146	200
2026-09-01T06:40:59-05:00	16981	88739	1368	200
2026-09-01T06:41:01-05:00	2403	90156	115	200
2026-09-01T06:41:18-05:00	3145	90520	248	200
2026-09-01T06:41:25-05:00	5358	90865	505	200
2026-09-01T06:41:35-05:00	8006	91428	674	200
2026-09-01T06:41:41-05:00	6024	92610	555	200
2026-09-01T06:41:45-05:00	2109	93183	148	200
2026-09-01T06:41:52-05:00	6394	93790	623	200
2026-09-01T06:41:53-05:00	792	94431	1	200
2026-09-01T06:41:59-05:00	63482	33482	4706	200
2026-09-01T06:47:40-05:00	347495	52601	11588	200
2026-09-01T06:47:58-05:00	244835	73511	174	200
2026-09-01T06:48:06-05:00	25917	6808	981	200
2026-09-01T06:48:12-05:00	13790	74727	500	200
2026-09-01T06:48:19-05:00	13090	39920	133	200
2026-09-01T06:48:42-05:00	30167	76747	574	200
